Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Net migration,SM.POP.NETM,"Egypt, Arab Rep.",EGY,6995,-2815,5961,-79150,4132,-23281,-61050,-59715,4476,-32370,-29998,-29998
Net migration,SM.POP.NETM,El Salvador,SLV,-39690,-97219,-49130,-51282,-47499,-50616,-54158,-55143,-25214,-27343,-23249,-23249
Net migration,SM.POP.NETM,Equatorial Guinea,GNQ,3506,15352,18051,17694,17109,16395,15583,14695,0,6486,4000,4000
Net migration,SM.POP.NETM,Eritrea,ERI,-12442,-33196,-75830,-53049,-55530,-38636,-21435,-29849,-14987,-14988,-17152,-15297
Net migration,SM.POP.NETM,Estonia,EST,-2798,-3230,-562,4308,1164,5329,7229,5410,2995,2995,-1000,-1000
Net migration,SM.POP.NETM,Eswatini,SWZ,7169,-6689,-10586,-10464,-10295,-10127,-9956,-9796,-4897,-4897,-5733,-5268
Net migration,SM.POP.NETM,Ethiopia,ETH,296018,-49892,103119,62784,115812,71769,9309,-10803,38867,-1391,-11999,-11999
Net migration,SM.POP.NETM,Faroe Islands,FRO,-1147,332,-111,542,537,622,653,580,498,0,0,0
Net migration,SM.POP.NETM,Fiji,FJI,-10612,-6081,-11023,-11047,-11139,-11605,-11738,-11865,-6003,-6003,-3557,-3289
Net migration,SM.POP.NETM,Finland,FIN,8864,2428,15950,12433,17210,13307,11646,15558,17482,14928,13999,13999
Net migration,SM.POP.NETM,France,FRA,11404,102857,26585,18807,14729,13175,14391,17403,18335,20614,66601,67761
Net migration,SM.POP.NETM,French Polynesia,PYF,-904,-460,-1668,-1676,-1687,-1046,-952,-861,-378,-378,-100,-100
Net migration,SM.POP.NETM,Gabon,GAB,995,3086,16566,12041,7395,4019,2893,2230,1514,1516,1000,1000
Net migration,SM.POP.NETM,"Gambia, The",GMB,11239,-3676,-2797,-3224,-3477,-3694,-3936,-4186,-1960,-1960,-3000,-3000
Net migration,SM.POP.NETM,Georgia,GEO,-108964,-135044,-16045,-13317,-10591,-7886,-5174,-5414,-2734,-2734,-9999,-9999
Net migration,SM.POP.NETM,Germany,DEU,479954,60905,369027,397921,432017,430803,392587,360560,334055,312735,154592,155751
Net migration,SM.POP.NETM,Ghana,GHA,-46822,-4208,-6316,-13308,7014,-4914,-19374,-21860,-297,-11253,-9999,-9999
Net migration,SM.POP.NETM,Gibraltar,GIB,-666,-147,-101,-101,-101,-58,-58,-58,-58,-58,-24,-24
Net migration,SM.POP.NETM,Greece,GRC,74412,35798,-30228,-29315,-27234,-25061,-23600,-21581,-17853,-14806,5000,5000
Net migration,SM.POP.NETM,Greenland,GRL,-672,-264,-529,-348,-374,-383,-357,-338,-150,-62,-100,-100
Net migration,SM.POP.NETM,Grenada,GRD,-1998,-586,-190,-190,-190,-190,-190,-190,0,-85,-200,-200
Net migration,SM.POP.NETM,Guam,GUM,-570,-1566,-1852,-1852,-1852,-1852,-1850,-1852,-244,-244,-500,-500
Net migration,SM.POP.NETM,Guatemala,GTM,-30399,-66153,-40409,-48162,-39266,-48049,-56884,-58095,-23142,-29118,-9128,-9110
Net migration,SM.POP.NETM,Guinea,GIN,107641,-77558,-22750,-15127,-14196,-13726,-9195,-3243,-4364,-4367,-4000,-4000
Net migration,SM.POP.NETM,Guinea-Bissau,GNB,-8150,-6971,-1393,-1393,-1392,-1398,-1396,-1395,-1394,-1395,-1400,-1400
Net migration,SM.POP.NETM,Guyana,GUY,-21639,-13176,-6715,-6524,-6311,-6110,30080,-24678,802,-4316,-3900,-3900
Net migration,SM.POP.NETM,Haiti,HTI,-26101,-27098,-31416,-32698,-33902,-34766,-35007,-34635,-33872,-32977,-32248,-31811
Net migration,SM.POP.NETM,Honduras,HND,-15350,-10762,-6302,-6512,-6685,-6782,-6768,-6550,-6199,-5779,-5374,-5034
Net migration,SM.POP.NETM,"Hong Kong SAR, China",HKG,42265,60719,22372,13061,0,0,0,0,0,0,19999,19999
Net migration,SM.POP.NETM,Hungary,HUN,17545,15478,11571,14166,-982,18044,31976,33559,9042,19870,616038,-156677
Net migration,SM.POP.NETM,Iceland,ISL,-969,1874,1116,1477,4113,8316,6611,5152,2573,622,380,380
Net migration,SM.POP.NETM,India,IND,108465,-149966,-310694,-475094,68119,-219656,-561563,-593495,-34772,-301970,-487303,-486136
Net migration,SM.POP.NETM,Indonesia,IDN,11542,-42697,-37324,-37991,-38653,-39282,-39878,-40567,-24999,-14992,-49997,-49997
Net migration,SM.POP.NETM,"Iran, Islamic Rep.",IRN,1375419,394594,653255,628310,23759,7709,-29981,-34571,-156669,28080,-39998,-39998
Net migration,SM.POP.NETM,Iraq,IRQ,-601469,87624,10514,-19490,-75580,-9899,6660,-29880,71539,-60097,-6000,-6000
Net migration,SM.POP.NETM,Ireland,IRL,-8183,31230,714,13130,18978,29200,33647,29113,15320,15320,9999,9999
Net migration,SM.POP.NETM,Isle of Man,IMN,1266,978,-276,-231,107,275,272,239,235,517,340,340
Net migration,SM.POP.NETM,Israel,ISR,57467,27257,10836,12049,13263,14518,15615,16132,16569,16856,9999,9999
Net migration,SM.POP.NETM,Italy,ITA,21268,49166,50102,34031,49591,70475,75863,21615,28021,28021,58496,58496
Net migration,SM.POP.NETM,Jamaica,JAM,-26080,-18500,-11329,-11329,-11329,-11329,-11329,-11329,0,-5664,-10999,-10999
Net migration,SM.POP.NETM,Japan,JPN,26291,84477,139401,150215,156993,164070,177470,183953,87584,87584,99994,99994
Net migration,SM.POP.NETM,Jordan,JOR,66103,-26074,803008,490844,49192,41956,33554,28963,18092,14374,-141192,-157392
Net migration,SM.POP.NETM,Kazakhstan,KAZ,-108425,-43423,-6299,-12253,-7445,-15903,-31760,-37080,-12432,-18917,0,0
Net migration,SM.POP.NETM,Kenya,KEN,-11341,5407,-72415,-95981,-29727,-68704,-115434,-61946,-17106,-52549,-10000,-10000
Net migration,SM.POP.NETM,Kiribati,KIR,-445,-513,-977,-853,-838,-811,-776,-691,-296,-296,-400,-400
Net migration,SM.POP.NETM,"Korea, Dem. People's Rep.",PRK,0,-3139,-3039,-3200,-3218,-3222,-3223,-3139,-1589,-1589,-2000,-2000
Net migration,SM.POP.NETM,"Korea, Rep.",KOR,69252,-72624,296280,266322,102075,112523,118642,110799,0,43440,29998,29998
Net migration,SM.POP.NETM,Kosovo,XKX,-8387,-9176,-56637,-14819,-31383,-33495,-34137,-33469,-15050,-15050,-5000,-5000
Net migration,SM.POP.NETM,Kuwait,KWT,-1196051,19193,-84910,259114,-90785,140685,144967,9088,-254177,-36843,11999,11999
Net migration,SM.POP.NETM,Kyrgyz Republic,KGZ,-37094,-21139,-32933,-29468,-25279,-27796,-30717,-34270,-14307,-16510,-9999,-9999
Net migration,SM.POP.NETM,Lao PDR,LAO,-3100,-34009,-25666,-12995,-11401,-10400,-10303,-10303,-10303,-10303,-9999,-9999
Net migration,SM.POP.NETM,Latvia,LVA,-10252,-20514,-11830,-11163,-10340,-9498,-8632,-7903,-7381,-6815,-8466,-7630
Net migration,SM.POP.NETM,Lebanon,LBN,-6595,455,301113,-223722,-228173,-230947,-233520,-237572,-115146,-115122,-160237,-177331
Net migration,SM.POP.NETM,Lesotho,LSO,-12891,-23572,-5466,-4129,-3861,-3327,-3234,-2989,-1490,-1490,-4000,-4000
Net migration,SM.POP.NETM,Liberia,LBR,-712546,-2060,-26692,-15195,-26822,-24830,-23226,-19697,-10119,-11862,-5000,-5000
Net migration,SM.POP.NETM,Libya,LBY,947,31970,-1712,-7660,-5081,9208,5835,-1352,-696,-696,-2000,-2000
Net migration,SM.POP.NETM,Liechtenstein,LIE,217,208,173,141,175,172,193,178,189,231,150,150
Net migration,SM.POP.NETM,Lithuania,LTU,-7205,-31240,-20883,-18912,-17334,-15937,-14451,-13398,-12625,-11853,-15192,-13128
Net migration,SM.POP.NETM,Luxembourg,LUX,3925,4407,11181,11373,12535,9563,10096,10365,6952,6949,5222,4883
Net migration,SM.POP.NETM,"Macao SAR, China",MAC,7443,4134,6034,6465,6962,7727,8219,8578,8441,4004,5000,5000
Net migration,SM.POP.NETM,Madagascar,MDG,-1792,485,485,485,485,485,485,-1487,-742,-742,-1500,-1500
Net migration,SM.POP.NETM,Malawi,MWI,71114,-29032,-10309,-6449,-5498,-4795,-3706,-2228,-1775,-1775,-6000,-6000
Net migration,SM.POP.NETM,Malaysia,MYS,94487,174011,94785,80603,97737,78257,60604,60824,57483,46165,48997,48997
Net migration,SM.POP.NETM,Maldives,MDV,-243,133,12535,12526,12191,11665,10578,6690,1134,1189,-8011,-8652
Net migration,SM.POP.NETM,Mali,MLI,-68856,-17423,-50149,-48947,-30294,-33995,-40761,-44428,-14978,-22236,-39998,-39998
Net migration,SM.POP.NETM,Malta,MLT,606,1799,8474,9443,10239,10836,11180,11247,10854,10408,850,850
Net migration,SM.POP.NETM,Marshall Islands,MHL,-593,-1323,-1901,-1901,-1901,-1901,-1901,-1901,-1901,-1901,0,0
Net migration,SM.POP.NETM,Mauritania,MRT,-3002,-2997,-2984,-3018,-3009,-3001,-2987,-3018,-1494,-1494,3000,3000
Net migration,SM.POP.NETM,Mauritius,MUS,-1646,-2522,-2932,-2747,-2558,-2381,-2209,-1034,-478,-478,0,0
Net migration,SM.POP.NETM,Mexico,MEX,-286584,-356430,-100413,-82173,33094,-12438,-99430,-47764,-9949,-52649,-51399,-50239
Net migration,SM.POP.NETM,"Micronesia, Fed. Sts.",FSM,-995,-2688,-1482,-1415,-1348,-1283,-1283,-1283,-635,-635,-600,-600
Net migration,SM.POP.NETM,Moldova,MDA,-14931,-44421,-67173,-59404,-51633,-43868,-36088,-28328,-14278,-14278,462866,-125204
Net migration,SM.POP.NETM,Monaco,MCO,347,16,988,1019,416,416,416,416,206,206,200,200
Net migration,SM.POP.NETM,Mongolia,MNG,-11026,-10833,813,3932,7470,10802,11426,10664,0,0,-850,-850
Net migration,SM.POP.NETM,Montenegro,MNE,-1762,-4423,-1742,-1943,-2111,-1980,-2024,-1636,-1326,-101,-480,-480
Net migration,SM.POP.NETM,Morocco,MAR,-104908,-90376,-72062,-81202,-57256,-71807,-89007,-91959,-33807,-46242,-39998,-39998
Net migration,SM.POP.NETM,Mozambique,MOZ,-97330,-58468,31611,30414,77168,14804,-12765,-17639,11745,-9515,-5000,-5000
Net migration,SM.POP.NETM,Myanmar,MMR,-40864,-106816,-74923,-94128,-87935,-105438,-114634,-100810,-66228,-35382,-34998,-34998
Net migration,SM.POP.NETM,Namibia,NAM,3969,5709,-8607,-8596,-8596,-8597,-8596,-8596,-4301,-4301,-4061,-3916
Net migration,SM.POP.NETM,Nauru,NRU,71,-223,-31,-31,-31,-34,-39,-107,-68,-66,-140,-140
Net migration,SM.POP.NETM,Nepal,NPL,-650,-147403,-310157,-221059,-98016,-78062,-81130,-70597,306664,296541,-62012,-62012
Net migration,SM.POP.NETM,Netherlands,NLD,32373,21650,54876,57677,59528,60585,60758,60266,58816,57439,29998,29998
Net migration,SM.POP.NETM,New Caledonia,NCL,953,969,510,-2230,-2346,-2389,-2386,-2336,-1182,-1182,500,500
Net migration,SM.POP.NETM,New Zealand,NZL,71491,-6080,48532,47165,50012,48815,80419,103392,38220,38220,12999,12999
Net migration,SM.POP.NETM,Nicaragua,NIC,-24283,-42092,-25571,-24359,-23081,-21841,-20739,-19733,-10384,-10384,-8000,-8000
Net migration,SM.POP.NETM,Niger,NER,84,-8533,3883,17051,14833,-6827,-3816,-15787,-4403,-4405,1000,1000
Net migration,SM.POP.NETM,Nigeria,NGA,107212,34146,-49351,-145917,-54315,15016,-81384,-103989,-4824,-76364,-59996,-59996
Net migration,SM.POP.NETM,North Macedonia,MKD,-16174,5516,-1597,-1378,-1164,-1018,-1000,-987,-486,-486,-1000,-1000
Net migration,SM.POP.NETM,Northern Mariana Islands,MNP,-286,-1149,-884,-866,-852,-830,-817,-806,-431,-431,-50,-50
Net migration,SM.POP.NETM,Norway,NOR,1895,9789,38565,30329,26425,21584,18388,25564,10756,10604,27998,27998
Net migration,SM.POP.NETM,Oman,OMN,33492,-19889,75961,134260,118472,5777,-51177,-106864,-164408,-20664,0,0
