Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Net migration,SM.POP.NETM,Tonga,TON,-2068,-1617,-2524,-2495,-2206,-2106,-2023,-1898,-948,-948,-800,-800
Net migration,SM.POP.NETM,Trinidad and Tobago,TTO,-7878,-5185,-799,-583,-103,1446,35502,-19248,2370,2632,-800,-800
Net migration,SM.POP.NETM,Tunisia,TUN,7453,-17475,-26591,-25230,-23826,-22368,-21013,-19609,-9189,-9189,-4000,-4000
Net migration,SM.POP.NETM,Turkiye,TUR,-22662,-77647,703144,341261,375842,-252010,-261813,-218341,-80952,-69729,-301586,-318067
Net migration,SM.POP.NETM,Turkmenistan,TKM,798,-9473,-9609,-9612,-9616,-9616,-9614,-9612,-4502,-4503,-4000,-4000
Net migration,SM.POP.NETM,Turks and Caicos Islands,TCA,291,418,1005,1663,1312,1425,1403,1358,682,682,200,200
Net migration,SM.POP.NETM,Tuvalu,TUV,-37,-161,-152,-159,-170,-155,-57,-57,-15,-15,-60,-60
Net migration,SM.POP.NETM,Uganda,UGA,-21692,-52834,-92291,-62377,123381,92876,60723,107203,43465,43465,-118846,-126181
Net migration,SM.POP.NETM,Ukraine,UKR,49782,-77752,-65667,-21937,-54333,-50447,-33273,-7812,-2173,831,-6673580,1784718
Net migration,SM.POP.NETM,United Arab Emirates,ARE,64939,131735,-14954,-14154,-13520,-12895,-8582,-4466,-2762,-2762,0,0
Net migration,SM.POP.NETM,United Kingdom,GBR,-701,161157,261389,254218,246940,239014,230577,221179,211063,202027,165790,165790
Net migration,SM.POP.NETM,United States,USA,1421775,1479676,1250914,1221849,1449371,1377630,1200796,1158444,675560,561580,998540,999700
Net migration,SM.POP.NETM,Uruguay,URY,-7498,-11074,-4914,-4156,-3506,-3090,-2963,-2902,-1486,-1486,-1500,-1500
Net migration,SM.POP.NETM,Uzbekistan,UZB,-73485,-66569,-20382,-20380,-35209,-48561,-60066,-69397,-39203,-39201,-19999,-19999
Net migration,SM.POP.NETM,Vanuatu,VUT,-939,-458,-785,-756,-404,-403,-403,-403,-197,-197,0,0
Net migration,SM.POP.NETM,"Venezuela, RB",VEN,-80,-2004,-62437,-77421,-283326,-817764,-1356759,-976460,-525142,-525116,297713,321106
Net migration,SM.POP.NETM,Viet Nam,VNM,-10252,-150955,-4875,-4761,-4432,-3847,-3080,-4028,-2016,-992,-82700,-82700
Net migration,SM.POP.NETM,Virgin Islands (U.S.),VIR,-1583,-921,-748,-630,-526,-471,-458,-458,0,-224,-450,-450
Net migration,SM.POP.NETM,West Bank and Gaza,PSE,-476,-11501,-27076,-22904,-22774,-25452,-25137,-24737,-12369,-12369,-5000,-5000
Net migration,SM.POP.NETM,"Yemen, Rep.",YEM,-15868,-87753,-30048,-38355,-39688,-39672,-39699,-39769,-86100,-101468,-29998,-29914
Net migration,SM.POP.NETM,Zambia,ZMB,-40900,-5152,16580,16283,17285,20268,18019,18019,9015,9015,-5000,-5000
Net migration,SM.POP.NETM,Zimbabwe,ZWE,2355,-137321,-59918,-59918,-59918,-59918,-59918,-59918,-29955,-25005,-9999,-9999
Net migration,SM.POP.NETM,Africa Eastern and Southern,AFE,22815,-564510,-199608,394925,-864708,-343075,-366105,-187410,-48955,-179444,-274282,-271749
Net migration,SM.POP.NETM,Africa Western and Central,AFW,-529414,-22651,-280418,-360393,-167286,-200823,-255888,-328552,-99761,-264802,-186109,-183333
Net migration,SM.POP.NETM,Arab World,ARB,-2012275,-4273,-184490,-194516,3140,13305,511128,139844,-1585167,-458710,308780,298369
Net migration,SM.POP.NETM,Caribbean small states,CSS,-39640,-14327,-5417,-7210,-6483,-5941,30345,-23188,19,-4271,-3800,-3800
